"phenotype";"term";"estimate";"std.error";"statistic";"p.value"
"bipolar";"batchb19";2,21816289525637e-09;3,67603547088528e-08;0,0603411722445155;0,951884216592877
"bipolar";"batchb20";6,19692730774272e-08;3,4736746122742e-08;1,78396885126947;0,0744364100565088
"bipolar";"batchb21";1,01852308118859e-07;1,99296458918292e-08;5,11059296646191;3,2264500391156e-07
"bipolar";"batchb24";4,41649920366121e-08;2,18071169381896e-08;2,02525589062479;0,0428478147297327
"ptsd";"(Intercept)";4,68721800200355e-07;4,66985916532819e-09;100,371720774884;0
"ptsd";"genderCis man";-9,92373017235747e-10;2,59606939391184e-09;-0,382259819234034;0,702270714282807
"ptsd";"genderNon-binary";3,7681373855032e-09;1,21214183085365e-08;0,310866046331352;0,755904099850139
"ptsd";"genderTrans man";1,55918202805723e-08;2,13397820710746e-08;0,730645712718243;0,464999921361768
"ptsd";"genderSelf-define";9,88054061545481e-09;1,97559127201271e-08;0,500130809212809;0,616985763160945
"ptsd";"genderTrans woman";4,41442591275001e-08;4,10488586526717e-08;1,07540771111372;0,282198807355071
"ptsd";"pc1";7,9682037230393e-09;1,1881653415221e-09;6,70630883142207;2,02296099768565e-11
"ptsd";"pc2";6,61500987106856e-09;2,04804427645277e-09;3,22991545989709;0,00123928188670908
"ptsd";"pc3";3,84071304354777e-09;1,8741413017083e-09;2,04931882139671;0,0404375478205078
"ptsd";"pc4";1,39626185256394e-09;1,71819857140498e-09;0,812631249845708;0,416434412592385
"ptsd";"pc5";7,88015192191673e-08;9,77255678104045e-09;8,06355194293151;7,61812303742462e-16
"ptsd";"pc6";-6,10168268611656e-09;2,76570787039876e-09;-2,20619203908792;0,0273762972863593
"ptsd";"batchb02";1,27005431957971e-08;9,2092721816783e-09;1,37910390150751;0,167870538877377
"ptsd";"batchb03";-8,36889054042703e-09;7,5237858149885e-09;-1,11232439973968;0,266005474240537
"ptsd";"batchb04";-4,95892502092627e-10;6,34846512833723e-09;-0,0781121880750583;0,937739208263705
"ptsd";"batchb05";-8,87901861297752e-09;8,46038481934211e-09;-1,04948164918909;0,293962925370311
"ptsd";"batchb06";-1,61816997324601e-08;7,19085720680579e-09;-2,25031582008679;0,0244343896153995
"ptsd";"batchb07";6,22487140526031e-09;9,70894599111591e-09;0,641148010397455;0,521430248225665
"ptsd";"batchb08";3,13981082899143e-08;5,07104486924736e-09;6,19164473978996;6,01252173739344e-10
"ptsd";"batchb09";2,59118554662632e-08;5,06665313938861e-09;5,11419565409405;3,16552163091769e-07
"ptsd";"batchb10";-3,86826745095558e-09;7,51130697958436e-09;-0,514992592030852;0,606561081816942
"ptsd";"batchb11";1,17733101463687e-08;1,35297727026503e-08;0,87017797010459;0,38420844729239
"ptsd";"batchb12";4,09684527928619e-08;5,25772689424159e-09;7,79204656630829;6,75406286192243e-15
"ptsd";"batchb15";2,47273087967165e-08;8,71484041445648e-09;2,83737941496875;0,00455087125560631
"ptsd";"batchb16";4,66873614208435e-08;5,28889836969277e-09;8,8274264615063;1,11416956852965e-18
"ptsd";"batchb17";1,30226746328020e-09;8,1286949874614e-09;0,160206215793428;0,872719453327571
"ptsd";"batchb18";5,72358954881993e-09;4,9611679383837e-08;0,115367784761679;0,908154199599241
"ptsd";"batchb19";1,4524742119481e-08;1,07340766284912e-08;1,35314313677698;0,176017660343907
"ptsd";"batchb20";2,50304710067663e-08;1,0143180000822e-08;2,46771436617885;0,0136020887048318
"ptsd";"batchb21";4,07292223899743e-08;5,81948536340076e-09;6,99876704667457;2,62338711340969e-12
"ptsd";"batchb24";3,68989964459468e-08;6,36770961855336e-09;5,79470463578232;6,89609683748648e-09
"scz";"(Intercept)";9,79954034567591e-07;1,77721230815775e-08;55,1399531766358;0
"scz";"genderCis man";-1,94809366491213e-08;9,87988356040174e-09;-1,97177795973227;0,0486419343339967
"scz";"genderNon-binary";3,17483210151284e-08;4,61305856292258e-08;0,688227140021703;0,491313801986605
"scz";"genderTrans man";9,16184254949897e-09;8,12129916715647e-08;0,112812523722197;0,910179763199955
"scz";"genderSelf-define";3,63488654602201e-08;7,51852464968986e-08;0,483457422218061;0,628773667661979
"scz";"genderTrans woman";-1,95522925643678e-07;1,56219993474319e-07;-1,25158708111084;0,210727785058363
"scz";"pc1";4,4067564290813e-08;4,52181103181328e-09;9,7455563668572;2,0428249370262e-22
"scz";"pc2";8,25374531283215e-09;7,79425967015881e-09;1,05895180069924;0,289628214447568
"scz";"pc3";2,94100832439931e-08;7,1324356275072e-09;4,12342778539341;3,74038720724414e-05
"scz";"pc4";-1,2506326170602e-08;6,53896304118066e-09;-1,91258554175035;0,0558083647682408
"scz";"pc5";1,65587005740068e-07;3,71915031664878e-08;4,45228053834817;8,51958194347797e-06
"scz";"pc6";-4,75996679939544e-08;1,05254781654555e-08;-4,52232832045349;6,134096982323e-06
"scz";"batchb02";1,72182455206114e-08;3,50478061350769e-08;0,491278839373026;0,623231977004625
"scz";"batchb03";1,85045778592549e-08;2,86333362119723e-08;0,646259930113128;0,518114792390602
"scz";"batchb04";-3,30231104480275e-08;2,4160408193377e-08;-1,36682750488794;0,171687167711378
"scz";"batchb05";-1,87018184930689e-08;3,21977590765932e-08;-0,58084223962855;0,56135010174456
"scz";"batchb06";-6,10163394779112e-08;2,73663069520897e-08;-2,22961540206111;0,025778592084259
"scz";"batchb07";-6,15684659671697e-09;3,69494190376454e-08;-0,166629050119683;0,867662788472103
"scz";"batchb08";9,37386510810313e-08;1,92989189561849e-08;4,8571969908703;1,19514780501222e-06
"scz";"batchb09";6,7035812426529e-08;1,92822053121911e-08;3,47656356423847;0,000508430047330305
"scz";"batchb10";2,82954990714335e-08;2,85858454010365e-08;0,989843003572932;0,32225693230317
"scz";"batchb11";5,80292291445747e-08;5,14903720271765e-08;1,12699184060948;0,2597527851038
"scz";"batchb12";1,05375310302703e-07;2,00093763399853e-08;5,26629658577255;1,39931607904137e-07
"scz";"batchb15";8,06355767376676e-08;3,3166142917533e-08;2,43126181232971;0,0150507598403185
"scz";"batchb16";1,04815232786967e-07;2,01280058914857e-08;5,20743253713495;1,92430439203977e-07
"scz";"batchb17";6,00222516607025e-08;3,09354442383089e-08;1,94024211187419;0,0523573886124076
"scz";"batchb18";4,84991597194626e-08;1,8880759377919e-07;0,256870810907014;0,797279843684907
"scz";"batchb19";5,92710391411361e-08;4,08507674974439e-08;1,45091617054306;0,146811155022032
"scz";"batchb20";1,23710174738474e-07;3,86019871330604e-08;3,20476182513732;0,00135281790203099
"scz";"batchb21";1,09277342585291e-07;2,21472653645923e-08;4,93412350402398;8,0838859000367e-07
"scz";"batchb24";7,82857319380164e-08;2,42336471148637e-08;3,23045605009244;0,00123694137062845
"adhd";"(Intercept)";3,98565613847054e-07;5,41725904316368e-09;73,5732979854497;0
"adhd";"genderCis man";-9,47242604500322e-09;3,01156413993504e-09;-3,14535092226445;0,00166010864093277
"adhd";"genderNon-binary";3,54900979302081e-08;1,40614225446934e-08;2,52393367864487;0,0116088734362669
"adhd";"genderTrans man";2,83149790954265e-08;2,47551635522496e-08;1,14380093008327;0,25271314383769
"adhd";"genderSelf-define";-9,04949948941184e-10;2,29177996702048e-08;-0,039486772812562;0,968502498856257
"adhd";"genderTrans woman";1,36848209801036e-07;4,76186310710947e-08;2,87383754473583;0,00405734000329482
"adhd";"pc1";1,22585906705044e-08;1,37832838491649e-09;8,8938099255985;6,14947490797084e-19
"adhd";"pc2";8,56425701271222e-09;2,3758289028902e-09;3,60474485443535;0,000312844464165927
"adhd";"pc3";8,39358861794366e-10;2,17409316970962e-09;0,386073087155908;0,699444622748529
"adhd";"pc4";6,14817871536472e-09;1,99319217547332e-09;3,08458902810248;0,0020397445494071
"adhd";"pc5";5,46697393130006e-08;1,13366313035698e-08;4,82239722269044;1,42371129969421e-06
"adhd";"pc6";1,51180042858672e-09;3,20835285203161e-09;0,471207656486227;0,637495057066799
"adhd";"batchb02";-3,36393942246426e-09;1,0683194340754e-08;-0,314881421714063;0,752853353162839
"adhd";"batchb03";1,30351848062997e-09;8,7279498807345e-09;0,1493499044383;0,881278302135929
"adhd";"batchb04";7,59471092968728e-09;7,36452190722055e-09;1,0312564787459;0,302426883202015
"adhd";"batchb05";-3,95301452341296e-09;9,81444933318557e-09;-0,402774968743956;0,687115959414201
"adhd";"batchb06";-2,70446925272498e-09;8,34173683885169e-09;-0,324209370898503;0,745781246700964
"adhd";"batchb07";1,83516993001277e-08;1,12628397576662e-08;1,62940250371904;0,103235822623458
"adhd";"batchb08";1,92475473494314e-08;5,88265356698149e-09;3,27191583360699;0,00106913087379128
"adhd";"batchb09";2,23507972559123e-08;5,87755895118042e-09;3,8027346797472;0,000143322987460421
"adhd";"batchb10";5,80135214952226e-09;8,7134738373362e-09;0,665790964410103;0,505548613552057
"adhd";"batchb11";3,2491225519345e-09;1,56951807175604e-08;0,207014026178064;0,835999972818008
"adhd";"batchb12";2,6598039835538e-08;6,09921360707962e-09;4,36089659241718;1,29858381058412e-05
"adhd";"batchb15";1,70661590310726e-08;1,01096299424749e-08;1,68810917196586;0,0913981776483444
"adhd";"batchb16";3,72632900760807e-08;6,13537400320685e-09;6,07351565798661;1,26281101956582e-09
"adhd";"batchb17";1,21772735577934e-08;9,42967333081229e-09;1,29137809238874;0,196580169209088
"adhd";"batchb18";4,15968610208105e-08;5,75519109407104e-08;0,722771152875589;0,469824777329002
"adhd";"batchb19";1,80722597875205e-08;1,24520401209185e-08;1,45134930597922;0,14669056927623
"adhd";"batchb20";9,30312656947038e-09;1,17665718901885e-08;0,790640354411786;0,429158643574642
"adhd";"batchb21";3,31854363614394e-08;6,75088018617493e-09;4,91571994262312;8,88113084139474e-07
"adhd";"batchb24";3,13900651420957e-08;7,3868464324286e-09;4,24945413841174;2,14783391389637e-05
"cud";"(Intercept)";5,20202419289868e-07;5,92781212626981e-09;87,7562257724951;0
"cud";"genderCis man";-7,90436190458413e-09;3,29539095057205e-09;-2,39861127955455;0,0164619880251881
"cud";"genderNon-binary";2,31255103063272e-08;1,53866504091632e-08;1,50295936356332;0,132857527202482
"cud";"genderTrans man";-6,36258621904174e-09;2,708822995607e-08;-0,23488379378646;0,814300147385326
"cud";"genderSelf-define";-1,63634535084074e-09;2,50777025263175e-08;-0,0652510073091227;0,947974480268935
"cud";"genderTrans woman";-7,56141723228938e-09;5,21064797622739e-08;-0,145114720218808;0,88462103754757
"cud";"pc1";2,22143963815006e-08;1,50822983523385e-09;14,7287872594406;5,68476892055421e-49
"cud";"pc2";4,68170079080966e-09;2,59974043483622e-09;1,80083393252473;0,0717366925791808
"cud";"pc3";2,24701741712373e-09;2,3789919869733e-09;0,944525004467346;0,344907214542995
"cud";"pc4";1,18694105526285e-09;2,18104186150506e-09;0,544208286971524;0,586301225326873
"cud";"pc5";9,52668387554198e-08;1,24050594547728e-08;7,67967611140843;1,63163025042452e-14
"cud";"pc6";2,50912661346514e-09;3,51072614214854e-09;0,714703030618495;0,474796793438053
"cud";"batchb02";-8,79285759692331e-09;1,1690038902669e-08;-0,752166666863341;0,451955323747299
"cud";"batchb03";-4,91026632968975e-09;9,55052116361013e-09;-0,514135956098301;0,607159819868561
"cud";"batchb04";1,44608026410365e-09;8,05859603869096e-09;0,179445682245483;0,857588685744807
"cud";"batchb05";-3,74402253588213e-11;1,07394184598457e-08;-0,00348624327274415;0,997218403578261
"cud";"batchb06";-1,09389135593103e-08;9,12790922374257e-09;-1,19840297390963;0,230767373861771
"cud";"batchb07";2,64207186200615e-09;1,23243133768876e-08;0,214378828354118;0,83025275834374
"cud";"batchb08";1,95906461287545e-08;6,43706805806214e-09;3,04341137176856;0,00234066214652035
"cud";"batchb09";3,90836920683925e-09;6,43149329689904e-09;0,60769233930846;0,543395042573065
"cud";"batchb10";-2,09055002595712e-09;9,53468081613677e-09;-0,219257473456165;0,82645062138273
"cud";"batchb11";-2,13157773832556e-08;1,71743831779579e-08;-1,24113787158382;0,214562200721258
"cud";"batchb12";1,99964944306758e-08;6,67403793923833e-09;2,99616133631957;0,00273571606875224
"cud";"batchb15";8,45407409845983e-09;1,10624185566184e-08;0,764215714239262;0,444743273965207
"cud";"batchb16";2,6118837492295e-08;6,71360629529179e-09;3,89043329970243;0,000100229515503619
"cud";"batchb17";2,4515892504378e-08;1,03183789942059e-08;2,37594417864904;0,0175088567609885
"cud";"batchb18";1,78895549018416e-08;6,29759280193305e-08;0,284069730522279;0,776358434097009
"cud";"batchb19";2,72205492324583e-09;1,36255906977031e-08;0,199775186532258;0,84165743800378
"cud";"batchb20";3,15976915945161e-08;1,28755200701185e-08;2,45409050837862;0,014128432403126
"cud";"batchb21";2,25341343629158e-08;7,38712125666263e-09;3,05046222743287;0,00228641012710463
"cud";"batchb24";1,93024588365061e-08;8,08302455321963e-09;2,38802427351499;0,0169438980257279
"smkinit";"(Intercept)";1,35404157723157e-08;4,62947487882278e-09;2,92482757261638;0,00344843271494714
"smkinit";"genderCis man";-9,17879435258115e-09;2,57361895023035e-09;-3,56649314839697;0,000362218292715165
"smkinit";"genderNon-binary";1,13215601372846e-08;1,20165939846129e-08;0,942160495043917;0,346116245071069
"smkinit";"genderTrans man";3,72425774713162e-08;2,11552386314095e-08;1,76044232448513;0,078340585616703
"smkinit";"genderSelf-define";2,75400411657872e-08;1,95850663602649e-08;1,40617553493011;0,159679882791222
"smkinit";"genderTrans woman";1,00282792323348e-07;4,06938738854955e-08;2,46432159802538;0,0137315188202739
"smkinit";"pc1";3,0260056291898e-10;1,17789025444366e-09;0,256900472499372;0,797256945459652
"smkinit";"pc2";2,21954589832142e-09;2,03033307705513e-09;1,09319299547675;0,274315746575894
"smkinit";"pc3";2,63011467047852e-09;1,8579339908237e-09;1,41561254784541;0,1568968691844
"smkinit";"pc4";3,77033873929839e-09;1,70333983136074e-09;2,21349766492949;0,0268690528445451
"smkinit";"pc5";1,07486895551597e-09;9,6880450818727e-09;0,110947972107103;0,91165816851703
"smkinit";"pc6";1,28139564646349e-09;2,74179041698652e-09;0,467357256238376;0,640246879614562
"smkinit";"batchb02";-1,42398138539084e-08;9,12963168865176e-09;-1,55973585129493;0,118830337164687
"smkinit";"batchb03";-6,65862979188379e-09;7,45872117145198e-09;-0,892730756227957;0,372006820609195
"smkinit";"batchb04";-1,47916493110353e-08;6,29356449310697e-09;-2,35028167697905;0,0187641062950003
