"Sample","Time point","Duration","Model","Regression","Dependent variable","Level","Independent variable","Estimate","95% CI low","95% CI up","SE","z score","p value"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans woman","batchb20",0.6,0,5553.81,4.66,-0.11,"0.91"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans woman","batchb21",4.52,0.2,102.68,1.59,0.95,"0.34"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans woman","batchb24",11.94,0.58,244.45,1.54,1.61,"0.11"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","Intercept",0,0,0.01,0.96,-7.32,"2.48e-13"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","SCORE",1,1,1,0,-58.88,"0.00e+00"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","study_statusControl",0.28,0.06,1.28,0.77,-1.63,"0.10"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","pc1",1.11,1.03,1.21,0.04,2.54,"0.01"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","pc2",0.95,0.81,1.12,0.08,-0.58,"0.56"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","pc3",1.02,0.81,1.28,0.12,0.18,"0.86"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","pc4",0.95,0.74,1.21,0.12,-0.41,"0.68"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","pc5",0.55,0.17,1.83,0.61,-0.97,"0.33"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","pc6",0.9,0.64,1.25,0.17,-0.65,"0.52"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","batchb02",4.6,0.3,69.95,1.39,1.1,"0.27"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","batchb03",2.25,0.15,34.39,1.39,0.58,"0.56"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","batchb04",0.89,0.04,20.57,1.6,-0.07,"0.94"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","batchb05",0.06,0,71012.13,7.12,-0.39,"0.70"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","batchb06",7.3,0.87,61.15,1.08,1.83,"0.07"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","batchb07",0.02,0,46066900000,14.42,-0.26,"0.80"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","batchb08",9.66,1.45,64.46,0.97,2.34,"0.02"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","batchb09",6.14,0.9,41.87,0.98,1.85,"0.06"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","batchb10",0.04,0,362722.1,8.21,-0.4,"0.69"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","batchb11",0.06,0,549289500,11.69,-0.24,"0.81"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","batchb12",8.58,1.28,57.61,0.97,2.21,"0.03"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","batchb15",3.23,0.21,48.44,1.38,0.85,"0.40"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","batchb16",1.68,0.21,13.46,1.06,0.49,"0.63"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","batchb17",2.48,0.17,36.24,1.37,0.66,"0.51"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","batchb18",0.28,0,7.919253e+14,18.16,-0.07,"0.94"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","batchb19",10.62,1.05,107.3,1.18,2,"0.05"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","batchb20",0.02,0,7.183832e+12,17.21,-0.24,"0.81"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","batchb21",16.69,2.51,111.14,0.97,2.91,"0.004"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Self-define","batchb24",20.95,3.13,140.09,0.97,3.14,"0.002"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","Intercept",0,0,0.01,2.15,-4.08,"4.54e-05"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","SCORE",1,1,1,0,-7.57,"3.59e-14"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","study_statusControl",0.41,0.1,1.64,0.7,-1.26,"0.21"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","pc1",0.85,0.62,1.16,0.16,-1.05,"0.29"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","pc2",0.97,0.56,1.68,0.28,-0.12,"0.91"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","pc3",0.94,0.66,1.35,0.18,-0.32,"0.75"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","pc4",0.96,0.72,1.27,0.14,-0.31,"0.75"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","pc5",0.53,0.11,2.64,0.81,-0.77,"0.44"
